,_c0,Borough,startStationName,latitude,longitude,prediction,concat
213,808,Bronx,University Ave & W 168 St,40.838706,-73.927034,999,Bronx999
214,813,Bronx,Melrose Ave & E 150 St,40.818,-73.917,999,Bronx999
215,820,Bronx,Jerome Ave & E 164 St,40.831444,-73.926226,999,Bronx999
216,827,Bronx,Goulden Ave & Bedford Park Blvd W,40.87387,-73.89533,999,Bronx999
217,829,Bronx,Jerome Ave & W 177 St,40.850121,-73.910765,999,Bronx999
218,830,Bronx,Jerome Ave & E 181 St,40.855653,-73.905528,999,Bronx999
219,834,Queens,Newton Rd & 44 St,40.7595701,-73.914267,999,Queens999
220,835,Bronx,3 Ave & E 172 St,40.839586,-73.900277,999,Bronx999
221,839,Bronx,Grand Concourse & E 197 St,40.86945,-73.89148,999,Bronx999
222,845,Bronx,E 158 St & Melrose Ave,40.822215,-73.914688,999,Bronx999
223,849,Bronx,E 149 St & Park Ave,40.818154,-73.925294,999,Bronx999
224,851,Queens,48 Ave & 5 St,40.744363,-73.955873,999,Queens999
225,858,Bronx,River Ave & E 151 St,40.822217,-73.928939,999,Bronx999
226,860,Queens,34th Ave & Vernon Blvd,40.765354,-73.939863,999,Queens999
227,861,Queens,35 St & 23 Ave,40.773015,-73.91119,999,Queens999
228,864,Bronx,Willis Ave & E 141 St,40.81093,-73.921606,999,Bronx999
229,865,Queens,21 Ave & Shore Blvd,40.783956,-73.916894,999,Queens999
230,873,Bronx,E 167 St & Bryant Ave,40.826706,-73.888719,999,Bronx999
231,884,Bronx,3 Ave & E 174 St,40.84224,-73.8985,999,Bronx999
232,891,Bronx,Southern Blvd & Avenue St. John,40.812769,-73.901583,999,Bronx999
233,892,Bronx,Macombs Rd & W 175 St,40.848177,-73.916082,999,Bronx999
234,899,Queens,45 Rd & 11 St,40.747086,-73.949772,999,Queens999
235,900,Queens,Vernon Blvd & 31 Ave,40.77,-73.935,999,Queens999
236,901,Bronx,College Ave & E 170 St,40.837576,-73.910489,999,Bronx999
237,909,Queens,47 Ave & Skillman Ave,40.743752,-73.941764,999,Queens999
238,916,Bronx,Propsect Ave & E 151 St,40.814232,-73.903927,999,Bronx999
239,917,Queens,31 Ave & 61 St,40.757525,-73.901614,999,Queens999
240,923,Bronx,Valentine Ave & E 183 St,40.856987,-73.898237,999,Bronx999
241,928,Bronx,Washington Ave & E 163 St,40.824,-73.91089,999,Bronx999
242,929,Queens,35 St & Broadway,40.760339,-73.922242,999,Queens999
243,930,Queens,38 St & Northern Blvd,40.752372,-73.925384,999,Queens999
244,936,Bronx,Mount Eden Pkwy & Eastburn Ave,40.842675,-73.908544,999,Bronx999
245,937,Queens,Steinway St & Ditmars Blvd,40.772717,-73.906127,999,Queens999
246,943,Bronx,Webster Ave & E 166 St,40.828975,-73.911259,999,Bronx999
247,946,Bronx,Andrews Ave S & W 179 St,40.855156,-73.91278,999,Bronx999
248,951,Queens,43 St & 23 Ave,40.769673,-73.906018,999,Queens999
249,956,Bronx,E 165 St & Clay Ave,40.82809,-73.91288,999,Bronx999
250,964,Queens,23 Rd & 29 St,40.77406,-73.914934,999,Queens999
251,966,Bronx,Crotona Park East & E 173 St,40.837037,-73.890413,999,Bronx999
252,969,Queens,Steinway St & 19 Ave,40.778089,-73.899558,999,Queens999
253,970,Queens,31 St & Hoyt Ave N,40.771153,-73.917007,999,Queens999
254,973,Bronx,Clay Ave & E 173 St,40.843264,-73.904867,999,Bronx999
